_id,start_time,end_time,type,trajectory,location_id,weather,clip,validation,explanation
"""634252450a5f9d9378d419b9""","10/9/2022, 12:46:55 AM","10/9/2022, 12:47:01 AM",truck,"[[1173.75,412.5],[1182,411.46875],[1182,404.25],[1182.75,409.5],[1187.25,407.625],[1199.25,399.75],[1200.75,395.625],[1204.5,395.53125],[1218,389.25],[1220.25,379.125]]","""6255092968981447d491ef3a""",Clear,"=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1665290815.mp4"")",false,Misclassification
"""634257a90a5f9d9378d419bb""","10/9/2022, 1:09:54 AM","10/9/2022, 1:10:01 AM",bus,"[[1252.5,318.28125],[1257,315.375],[1254.75,313.5],[1249.5,314.8125],[1219.5,322.78125]]","""6255092968981447d491ef3a""",Clear,"=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1665292194.mp4"")",false,Misclassification
"""6342a6d10a5f9d9378d419c1""","10/9/2022, 6:47:31 AM","10/9/2022, 6:47:44 AM",car,"[[1287.75,427.5],[1284,427.5],[1275,428.25],[1269.75,427.5],[1263.75,427.875],[1256.25,427.125],[1253.25,424.125],[1250.25,423.375],[1245,421.125],[1240.5,421.5],[1234.5,420],[1230,419.625],[1224.75,419.25],[1224,418.125],[1218.75,414.75],[1217.25,417.375],[1213.5,417],[1209.75,412.875],[1205.25,411.375],[1203,409.875],[1199.25,410.25],[1195.5,410.25],[1189.5,408.75],[1182,407.625],[1181.25,406.875],[1174.5,409.5],[1173.75,406.125],[1170.75,403.125],[1166.25,402.75],[1161.75,403.5],[1155,405.375],[1152,403.875],[1151.25,403.125],[1147.5,402],[1143.75,401.625],[1139.25,400.875],[1136.25,400.5],[1132.5,400.5],[1130.25,400.875],[1125.75,400.5],[1124.25,398.25],[1116.75,397.125],[1113,395.625],[1109.25,394.875],[1107,393.75],[1101,394.875],[1098.75,395.25],[1097.25,393.75],[1095.75,395.625],[1091.25,394.875],[1089,394.875],[1084.5,395.25],[1014,422.625],[1019.25,424.125],[1023.75,424.125],[1027.5,424.875],[1030.5,426],[1035.75,426.375],[1039.5,426.375],[1044,427.125],[1046.25,427.875],[1052.25,429.75],[1056,431.25],[1060.5,429],[1062.75,429],[1066.5,430.125],[1069.5,431.625],[1074,432],[1077,432.75],[1082.25,433.125],[1087.5,435],[1090.5,436.875],[1095,436.875],[1098,438],[1102.5,438.75],[1107,439.5],[1111.5,439.5],[1117.5,441.75],[1120.5,442.875],[1125,443.25],[1130.25,444],[1134,445.5],[1138.5,446.625],[1142.25,448.5],[1146,450],[1153.5,451.5],[1159.5,453],[1164.75,453.375],[1168.5,454.5],[1173.75,456.375],[1176.75,457.125],[1179.75,457.125],[1183.5,457.875],[1188,458.625],[1193.25,458.625],[1199.25,460.125],[1206.75,460.5],[1212.75,460.875],[1217.25,462],[1221.75,462.375],[1226.25,463.875],[1231.5,463.875],[1236.75,466.5]]","""6255092968981447d491ef3a""",Clear,"=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1665312451.mp4"")",true,
"""6342a9010a5f9d9378d419c3""","10/9/2022, 6:56:58 AM","10/9/2022, 6:57:04 AM",car,"[[1007.25,429.75],[1011.75,431.625],[1017.75,430.5],[1023.75,431.625],[1028.25,432.75],[1035,434.625],[1041.75,434.625],[1047,438],[1053,439.5],[1059,441.375],[1063.5,441],[1071,444],[1077.75,445.5],[1084.5,446.625],[1089.75,448.5],[1095.75,450],[1103.25,451.5],[1111.5,453.375],[1119,455.625],[1126.5,458.25],[1134,459.75],[1140.75,461.25],[1147.5,462.75],[1155,463.5],[1161.75,464.625],[1171.5,467.25],[1179.75,469.5],[1186.5,472.5],[1194.75,474.375],[1201.5,477],[1209,481.125],[1220.25,482.25],[1227.75,483.75]]","""6255092968981447d491ef3a""",Clear,"=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1665313019.mp4"")",true,
"""6342b4cf0a5f9d9378d419e2""","10/9/2022, 7:47:10 AM","10/9/2022, 7:47:26 AM",car,"[[1275.75,436.5],[1266.75,435.75],[1254.75,435],[1252.5,431.625],[1245,431.25],[1239.75,430.5],[1233.75,429],[1227.75,426],[1224.75,425.25],[1218.75,426.375],[1210.5,425.25],[1206,423.75],[1197,422.625],[1188.75,422.625],[1184.25,418.875],[1178.25,416.625],[1170.75,415.875],[1167,415.5],[1158.75,414.375],[1152.75,412.125],[1146,412.875],[1138.5,410.25],[1137,411],[1132.5,410.25],[1125.75,406.875],[1119,411],[1113.75,406.875],[1106.25,403.125],[1101,405],[1096.5,404.25],[1092.75,404.25],[1085.25,404.625],[1079.25,404.25],[1075.5,402.75],[1070.25,400.5],[1002.75,429.75],[1005,429.375],[1006.5,432],[1010.25,432.375],[1011.75,432.75],[1014.75,432.375],[1017.75,432.75],[1023.75,433.875],[1027.5,432.75],[1029.75,433.5],[1033.5,435.375],[1037.25,435.75],[1039.5,436.875],[1044.75,437.25],[1050.75,438],[1052.25,438.375],[1055.25,439.125],[1059,442.125],[1061.25,444],[1066.5,444],[1069.5,444],[1074,445.125],[1077.75,446.25],[1081.5,448.875],[1085.25,449.25],[1089,448.5],[1092,450],[1095,451.875],[1098.75,453],[1102.5,453.75],[1108.5,457.125],[1110.75,456.375],[1115.25,458.25],[1119.75,458.625],[1125,460.125],[1128,462.75],[1131.75,461.625],[1134.75,462.375],[1138.5,465],[1141.5,465.375],[1146.75,467.625],[1152.75,467.25],[1157.25,468],[1161.75,468],[1166.25,466.5],[1171.5,472.5],[1177.5,474],[1181.25,474.75],[1185,475.875],[1188,477.375],[1193.25,479.25],[1198.5,479.25],[1205.25,479.25],[1208.25,480],[1214.25,480.75],[1219.5,484.875],[1222.5,484.5],[1228.5,484.875],[1234.5,483.75],[1282.5,424.5],[1277.25,424.5],[1268.25,425.625],[1263,424.875],[1254.75,426],[1248,424.125],[1242,423.375],[1236.75,422.25],[1230,420],[1224.75,418.875],[1215.75,418.125],[1211.25,417],[1203,413.625],[1199.25,415.5],[1194.75,411.375],[1194.75,408.75]]","""6255092968981447d491ef3a""",Clear,"=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1665316030.mp4"")",true,
"""6342b7530a5f9d9378d419e9""","10/9/2022, 7:58:02 AM","10/9/2022, 7:58:10 AM",car,"[[1008,426.375],[1011,426.75],[1011.75,427.875],[1014.75,427.5],[1017.75,427.875],[1021.5,427.875],[1025.25,428.25],[1029.75,427.875],[1033.5,429],[1037.25,429],[1040.25,430.5],[1045.5,429.375],[1049.25,430.5],[1053,433.125],[1056.75,432.375],[1062,432],[1066.5,434.25],[1071,435.75],[1074,438],[1077.75,443.25],[1083,440.625],[1088.25,441],[1092.75,442.125],[1096.5,441.75],[1100.25,443.25],[1106.25,445.125],[1110.75,447.375],[1115.25,447.75],[1120.5,448.125],[1124.25,449.25],[1131,449.625],[1134.75,451.5],[1139.25,453],[1143,454.5],[1151.25,458.25],[1155,458.625],[1159.5,459.375],[1166.25,462],[1173.75,464.25],[1177.5,463.875],[1183.5,464.625],[1189.5,465],[1194.75,466.125],[1199.25,468.75],[1204.5,468],[1213.5,468],[1219.5,469.875],[1227.75,471],[1234.5,472.875],[1239,471.375]]","""6255092968981447d491ef3a""",Clear,"=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1665316682.mp4"")",true,
"""6342c0210a5f9d9378d419f0""","10/9/2022, 8:35:20 AM","10/9/2022, 8:35:45 AM",car,"[[1018.5,427.875],[1022.25,426],[1026.75,428.25],[1029.75,429],[1036.5,432],[1038.75,433.125],[1044.75,432.375],[1047,432.75],[1052.25,432.75],[1056.75,434.25],[1061.25,435.75],[1068.75,434.625],[1070.25,439.125],[1077,443.625],[1083.75,444],[1089,444.375],[1091.25,442.125],[1096.5,443.25],[1101,443.25],[1107.75,444.375],[1112.25,447],[1122,450],[1125.75,453.375],[1132.5,453.75],[1135.5,455.25],[1141.5,456.375],[1145.25,458.25],[1152.75,457.5],[1157.25,457.5],[1163.25,459.375],[1170.75,459.75],[1176,463.125],[1182,463.5],[1187.25,465],[1193.25,465.75],[1199.25,467.625],[1209.75,470.625],[1215.75,471.75],[1221,472.5],[1228.5,473.25],[1237.5,475.5],[1242.75,474],[1008.75,428.625],[1011.75,425.25],[1015.5,426.375],[1019.25,428.625],[1023.75,431.625],[1028.25,429],[1033.5,432.75],[1038,433.875],[1043.25,436.125],[1046.25,436.875],[1053,435.375],[1056,438.75],[1059,437.25],[1067.25,438.375],[1070.25,440.25],[1074.75,441.75],[1082.25,444.375],[1086.75,444.375],[1089.75,443.625],[1093.5,443.25],[1098,448.5],[1104,450],[1108.5,449.25],[1115.25,452.25],[1120.5,453],[1125.75,453.375],[1131,454.125],[1134.75,454.875],[1139.25,457.5],[1143.75,459],[1149,460.125],[1155.75,462],[1164,462.375],[1169.25,464.25],[1173,466.125],[1177.5,466.5],[1182,469.125],[1188,469.875],[1197.75,470.25],[1200.75,470.625],[1207.5,472.5],[1214.25,474.375],[1222.5,477],[1227.75,476.25],[1236,481.875],[1023.75,423],[1026,419.625],[1029.75,431.625],[1034.25,431.25],[1042.5,431.625],[1051.5,433.875],[1055.25,436.125],[1061.25,435],[1065.75,434.625],[1069.5,434.25],[1076.25,438.375],[1079.25,438.375],[1083.75,441],[1089,443.625],[1092.75,442.125],[1098.75,441.75],[1105.5,444],[1109.25,444.75],[1113,446.25],[1118.25,449.25],[1125.75,448.125],[1130.25,453],[1134.75,453],[1139.25,455.25],[1144.5,456],[1148.25,457.125],[1152,455.25],[1161,458.25],[1167,458.625],[1171.5,459],[1179,462],[1185.75,465.375],[1191,467.625],[1197,468.75],[1206.75,468],[1213.5,468],[1219.5,461.25],[1225.5,456],[1230.75,460.5],[1239.75,467.625],[993.75,427.5],[996.75,429.375],[999.75,430.125],[1007.25,429.75],[1011,428.625],[1016.25,430.125],[1020.75,432.75],[1024.5,431.625],[1029,432],[1035,433.125],[1042.5,434.25],[1047,432.75],[1053,436.5],[1059,438.75],[1063.5,437.25],[1068,439.5],[1074,441.75],[1081.5,443.625],[1084.5,447],[1090.5,445.5],[1095,448.125],[1098.75,449.625],[1102.5,451.5],[1108.5,450],[1116.75,449.625],[1122,453],[1129.5,457.5],[1133.25,454.5],[1138.5,454.875],[1150.5,464.25],[1164,460.125],[1165.5,466.5],[1171.5,468.75],[1175.25,470.25],[1181.25,471.75],[1190.25,469.125],[1200,474.75],[1208.25,477],[1214.25,473.625],[1221.75,476.625],[1229.25,484.125]]","""6255092968981447d491ef3a""",Clear,"=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1665318920.mp4"")",true,
"""6342c2df0a5f9d9378d419f6""","10/9/2022, 8:47:03 AM","10/9/2022, 8:47:27 AM",car,"[[1270.5,433.5],[1262.25,432],[1249.5,432],[1244.25,431.25],[1239.75,431.625],[1233,432],[1229.25,432],[1222.5,429.375],[1218,428.25],[1212.75,427.5],[1206.75,425.25],[1202.25,425.625],[1197.75,425.25],[1193.25,426],[1188,426.375],[1183.5,424.875],[1179,425.25],[1170.75,423.375],[1165.5,419.25],[1161.75,418.125],[1155,417],[1151.25,413.25],[1146,412.5],[1142.25,412.125],[1137.75,411.75],[1132.5,411],[1128.75,409.5],[1122.75,407.625],[1115.25,408.375],[1110.75,406.5],[1107,404.625],[1104.75,403.125],[1100.25,402],[1092.75,404.25],[1089,403.5],[1076.25,402.75],[995.25,423],[997.5,417],[1002,420.375],[1005.75,425.25],[1014.75,426.375],[1021.5,426],[1029.75,429.75],[1038,428.625],[1042.5,430.5],[1045.5,429.75],[1049.25,436.5],[1058.25,435.75],[1066.5,438.375],[1071,439.5],[1080,439.875],[1093.5,442.125],[1093.5,448.125],[1097.25,450.375],[1106.25,447],[1116,451.125],[1118.25,451.875],[1124.25,453.375],[1131,454.125],[1137,455.25],[1144.5,457.875],[1151.25,458.25],[1157.25,459],[1166.25,461.25],[1170.75,462.75],[1180.5,462.75],[1188.75,465.75],[1197.75,466.125],[1203,465.375],[1211.25,469.875],[1219.5,471.75],[1228.5,474.375],[1291.5,429],[1283.25,429.375],[1275.75,426.75],[1267.5,429],[1260,428.25],[1255.5,426],[1221.75,422.25],[1217.25,420],[1211.25,420.375],[1203,418.5],[1197.75,417.75],[1194,419.25],[1185.75,418.125],[1182,415.125],[1179.75,412.5],[1160.25,408.75],[1005.75,435.75],[1010.25,437.25],[1014.75,437.625],[1022.25,442.125],[1026,443.625],[1032,443.25],[1039.5,444],[1046.25,447.75],[1050,448.5],[1055.25,448.125],[1060.5,451.5],[1067.25,454.125],[1072.5,454.5],[1084.5,453],[1089,457.875],[1094.25,460.125],[1098.75,461.625],[1104,462.75],[1113,466.125],[1119.75,466.125],[1143.75,468.375],[1156.5,477],[1162.5,478.5],[1169.25,483.375],[1173,482.25],[1221,411],[1188.75,407.25],[1183.5,407.25],[1179,408.75]]","""6255092968981447d491ef3a""",Clear,"=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1665319624.mp4"")",true,
"""6342d12f0a5f9d9378d41a1c""","10/9/2022, 9:48:23 AM","10/9/2022, 9:48:31 AM",car,"[[1273.5,421.125],[1261.5,423.75],[1254,422.25],[1266,419.625],[1266,419.625],[1234.5,421.875],[1255.5,417],[1249.5,417.375],[1243.5,415.875],[1221,417],[1231.5,416.25],[1215.75,411.75],[1214.25,411.75],[1206.75,411.75],[1199.25,409.125],[1194.75,409.875],[1189.5,409.125],[1185,407.625],[1179.75,407.625],[1173.75,405.75],[1170,404.625],[1164,406.125],[1157.25,406.5],[1148.25,404.25],[1145.25,403.5],[1140.75,402],[1133.25,401.25],[1128.75,400.125],[1126.5,400.125],[1122.75,399.375],[1116,396.46875],[1113,395.625],[1102.5,392.34375],[1098.75,391.96875],[1092.75,393.28125],[1083.75,393.09375],[1079.25,390.09375],[1076.25,391.875],[1071.75,391.875],[1066.5,390.46875]]","""6255092968981447d491ef3a""",Clear,"=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1665323303.mp4"")",true,
"""6342d9290a5f9d9378d41a31""","10/9/2022, 10:22:25 AM","10/9/2022, 10:22:33 AM",car,"[[1005,430.125],[1008,430.5],[1011.75,429],[1014.75,432],[1017.75,430.125],[1023.75,428.625],[1028.25,430.875],[1032,431.25],[1036.5,433.125],[1042.5,436.5],[1046.25,436.5],[1050.75,437.25],[1056.75,438.75],[1059.75,439.875],[1065.75,440.625],[1071,439.5],[1072.5,442.125],[1080,441.375],[1085.25,443.625],[1089,445.875],[1092.75,447],[1097.25,448.875],[1101.75,448.875],[1110,449.625],[1116,449.25],[1119.75,452.25],[1125,453.375],[1131.75,453.75],[1137,456],[1141.5,457.125],[1146.75,459.375],[1152.75,457.875],[1156.5,459.75],[1162.5,462],[1168.5,462.75],[1176.75,462],[1182,463.875],[1186.5,465],[1192.5,466.5],[1197.75,467.625],[1203.75,469.125],[1211.25,471.75],[1216.5,469.5],[1223.25,468.375],[1231.5,472.125],[1236.75,473.25]]","""6255092968981447d491ef3a""",Clear,"=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1665325345.mp4"")",true,
