_id,start_time,end_time,location_id,clip
"""63388d981bb12aca18a8f957""","10/1/2022, 2:56:33 PM","10/1/2022, 2:57:28 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664650593.mp4"")"
"""63389a731bb12aca18a8f969""","10/1/2022, 3:49:43 PM","10/1/2022, 3:52:18 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664653783.mp4"")"
"""63389bd31bb12aca18a8f96b""","10/1/2022, 3:57:18 PM","10/1/2022, 3:58:11 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664654238.mp4"")"
"""6338a7c51bb12aca18a8f977""","10/1/2022, 4:46:23 PM","10/1/2022, 4:49:09 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664657183.mp4"")"
"""6338a9a51bb12aca18a8f97b""","10/1/2022, 4:56:17 PM","10/1/2022, 4:57:09 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664657777.mp4"")"
"""6338b6691bb12aca18a8f991""","10/1/2022, 5:48:31 PM","10/1/2022, 5:51:37 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664660911.mp4"")"
"""6338b7ae1bb12aca18a8f992""","10/1/2022, 5:56:05 PM","10/1/2022, 5:57:02 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664661365.mp4"")"
"""6338c49c1bb12aca18a8f9a4""","10/1/2022, 6:49:13 PM","10/1/2022, 6:52:12 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664664553.mp4"")"
"""6338c59b1bb12aca18a8f9a7""","10/1/2022, 6:55:33 PM","10/1/2022, 6:56:27 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664664933.mp4"")"
"""6338d20c1bb12aca18a8f9bc""","10/1/2022, 7:46:53 PM","10/1/2022, 7:49:32 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664668013.mp4"")"
"""6338d4571bb12aca18a8f9bf""","10/1/2022, 7:58:29 PM","10/1/2022, 7:59:19 PM","""6255092968981447d491ef3a""","=HYPERLINK(""https://igct-test.s3.amazonaws.com/6255092968981447d491ef3a_1664668709.mp4"")"
